Date,stocks,bonds,cash,gold
1988-09-01,271.9100036621094,8.869999885559082,7.25,396.7
1988-10-01,278.9700012207031,8.649999618530273,7.360000133514404,412.4
1988-11-01,273.70001220703125,9.0600004196167,7.829999923706055,422.6
1988-12-01,277.7200012207031,9.140000343322754,8.100000381469727,410.3
1989-01-01,297.4700012207031,9.010000228881836,8.390000343322754,394.0
1989-02-01,288.8599853515625,9.31999969482422,8.710000038146973,387.0
1989-03-01,294.8699951171875,9.300000190734863,8.899999618530273,383.2
1989-04-01,309.6400146484375,9.020000457763672,8.40999984741211,377.6
1989-05-01,320.5199890136719,8.600000381469727,8.609999656677246,361.8
1989-06-01,317.9800109863281,8.100000381469727,7.989999771118164,373.0
1989-07-01,346.0799865722656,7.820000171661377,7.800000190734863,368.3
1989-08-01,351.45001220703125,8.260000228881836,7.889999866485596,359.8
1989-09-01,349.1499938964844,8.3100004196167,7.909999847412109,366.5
1989-10-01,340.3599853515625,7.920000076293945,7.769999980926514,375.3
1989-11-01,345.989990234375,7.840000152587891,7.590000152587891,408.2
1989-12-01,353.3999938964844,7.929999828338623,7.550000190734863,398.6
1990-01-01,329.0799865722656,8.430000305175781,7.739999771118164,415.1
1990-02-01,331.8900146484375,8.510000228881836,7.769999980926514,407.7
1990-03-01,339.94000244140625,8.649999618530273,7.800000190734863,368.5
1990-04-01,330.79998779296875,9.039999961853027,7.789999961853027,367.8
1990-05-01,361.2300109863281,8.600000381469727,7.75,363.1
1990-06-01,358.0199890136719,8.430000305175781,7.739999771118164,352.2
1990-07-01,356.1499938964844,8.359999656677246,7.489999771118164,372.3
1990-08-01,322.5599975585937,8.859999656677246,7.389999866485596,387.8
1990-09-01,306.04998779296875,8.819999694824219,7.139999866485596,408.4
1990-10-01,304.0,8.649999618530273,7.110000133514404,379.5
1990-11-01,322.2200012207031,8.260000228881836,7.019999980926514,384.9
1990-12-01,330.2200012207031,8.079999923706055,6.440000057220459,386.2
1991-01-01,343.92999267578125,8.029999732971191,6.190000057220459,366.0
1991-02-01,367.0700073242188,8.020000457763672,6.039999961853027,362.7
1991-03-01,375.2200012207031,8.050000190734863,5.739999771118164,355.7
1991-04-01,375.3399963378906,8.020000457763672,5.510000228881836,357.8
1991-05-01,389.8299865722656,8.0600004196167,5.53000020980835,360.4
1991-06-01,371.1600036621094,8.239999771118164,5.539999961853027,368.4
1991-07-01,387.80999755859375,8.199999809265137,5.53000020980835,362.9
1991-08-01,395.4299926757813,7.820000171661377,5.329999923706055,347.4
1991-09-01,387.8599853515625,7.46999979019165,5.110000133514404,354.9
1991-10-01,392.4500122070313,7.46999979019165,4.820000171661377,357.5
1991-11-01,375.2200012207031,7.380000114440918,4.349999904632568,366.3
1991-12-01,417.0899963378906,6.710000038146973,3.880000114440918,353.2
1992-01-01,408.7799987792969,7.309999942779541,3.839999914169312,354.1
1992-02-01,412.7000122070313,7.269999980926514,3.930000066757202,353.1
1992-03-01,403.6900024414063,7.539999961853027,4.050000190734863,341.7
1992-04-01,414.9500122070313,7.610000133514404,3.700000047683716,336.4
1992-05-01,415.3500061035156,7.329999923706055,3.700000047683716,337.5
1992-06-01,408.1400146484375,7.139999866485596,3.569999933242798,343.4
